resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5,Best_S6A,Best_S6,Best_S6B,S7,L6,I3,S8,P1,L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,EntrantID,TeamID,DriverID,Best_T5_SPD,T5_SPD,Best_T3_SPD,T3_SPD,time_stamp,BestSpeed,LastSpeed,AverageSpeed,NTBestSpeed
1,0,7,8,0.0000,0.0000,8,2,0.0000,0,0.0000,0,1:23.4253,In Pit,False,0,0,0,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Rookie,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.0694,"","",13.4307,"","","","","","","",82.8901,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,12,2022,,,,,2022-02-25T20:43:22.812759Z,,,,
10,0,7,9,0.0000,0.0000,9,11,0.0000,0,0.0000,0,1:24.0155,In Pit,False,0,0,0,Green,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.3018,"","",13.4673,"","","","","","","",82.7196,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11,12,461,,,,,2022-02-25T20:43:22.812759Z,,,,
17,0,7,10,0.0000,0.0000,10,18,0.0000,0,0.0000,0,1:25.3392,In Pit,False,0,0,0,Green,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"",12.8706,"","",13.4817,"","","","","","","",82.4083,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18,3,522,,,,,2022-02-25T20:43:22.812759Z,,,,
15,0,7,11,0.0000,0.0000,11,16,0.0000,0,0.0000,0,1:26.0172,In Pit,False,0,0,0,Green,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"",12.8002,"","",13.6218,"","","","","","","",81.8938,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16,139,1010,,,,,2022-02-25T20:43:22.812759Z,,,,
14,0,7,12,0.0000,0.0000,12,15,0.0000,0,0.0000,0,1:28.1143,In Pit,False,0,0,0,Green,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"",12.7543,"","","","","","","","","","",83.0923,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15,139,580,,,,,2022-02-25T20:43:22.812759Z,,,,
18,0,7,13,0.0000,0.0000,13,19,0.0000,0,0.0000,0,1:28.7920,In Pit,False,0,0,0,Green,28,Romain,Grosjean,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"",13.3869,"","","","","","","","","","",83.2909,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19,3,1047,,,,,2022-02-25T20:43:22.812759Z,,,,
5,0,7,14,0.0000,0.0000,14,6,0.0000,0,0.0000,0,1:30.8786,In Pit,False,0,0,0,Green,7,Felix,Rosenqvist,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"",12.9111,"","","","","","","","","","",83.8440,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,24,963,,,,,2022-02-25T20:43:22.812759Z,,,,
21,0,7,15,0.0000,0.0000,15,22,0.0000,0,0.0000,0,1:31.8908,In Pit,False,0,0,0,Green,45,Jack,Harvey,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"",13.4351,"","","","","","","","","","",83.9597,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",22,21,850,,,,,2022-02-25T20:43:22.812759Z,,,,
25,0,7,16,0.0000,0.0000,16,26,0.0000,0,0.0000,0,1:33.3449,In Pit,False,0,0,0,Green,77,Callum,Ilott,IndyCar,D/C/F,Rookie,Juncos Hollinger Racing,"",0,0,0,P,0,0,-0.0001,"",13.2305,"","","","","","","","","","",84.1733,"","","","","","","","",31.1892,"","","",15.3131,7.2468,"","","","","","","","","","","","","","","","","","","","","","","","","","","",26,146,2072,,,,,2022-02-25T20:43:22.812759Z,,,,
24,0,7,17,0.0000,0.0000,17,25,0.0000,0,0.0000,0,1:36.0600,In Pit,False,0,0,0,Green,60,Simon,Pagenaud,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,"",13.7347,"","",13.9485,"","","","","","","",84.7330,"","","","","","","","",31.8764,"","","",14.8399,7.4945,"","","","","","","","","","","","","","","","","","","","","","","","","","","",25,148,658,,,,,2022-02-25T20:43:22.812759Z,,,,
2,0,7,18,0.0000,0.0000,18,3,0.0000,0,0.0000,0,1:38.8297,In Pit,False,0,0,0,Green,4,Dalton,Kellett,IndyCar,D/C/F,Veteran,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,"",12.5455,"","","","","","","","","","",79.6896,"","","","","","","","",30.8953,"","","",14.1232,6.6255,"","","","","","","","","","","","","","","","","","","","","","","","","","","",3,2,719,,,,,2022-02-25T20:43:22.812759Z,,,,
13,0,7,19,0.0000,0.0000,19,14,0.0000,0,0.0000,0,1:39.8551,In Pit,False,0,0,0,Green,18,David,Malukas,IndyCar,D/H/F,Rookie,Dale Coyne Racing with HMD,"",0,0,0,P,0,0,-0.0001,"",13.6297,"","","","","","","","","","",84.5208,"","","","","","","","",32.6624,"","",7.9758,14.7583,6.7825,"","","","","","","","","","","","","","","","","","","","","","","","","","","",14,129,1014,,,,,2022-02-25T20:43:22.812759Z,,,,
4,0,7,20,0.0000,0.0000,20,5,0.0000,0,0.0000,0,1:42.2035,Active,False,0,0,0,Green,06,Helio,Castroneves,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,12.3693,12.3728,"","","","","","","","","","",72.2687,"","","","","","","","",28.2222,"","",8.5436,15.3528,6.8092,12.3693,12.3728,"","","","","","","","","","",72.2687,"","","","","","","","",28.2222,"","",8.5436,15.3528,6.8092,5,148,254,,,,,2022-02-25T20:43:22.812759Z,,,,
19,0,7,21,0.0000,0.0000,21,20,0.0000,0,0.0000,0,2:04.1399,In Pit,False,0,0,0,Green,29,Devlin,DeFrancesco,IndyCar,D/H/F,Rookie,Andretti Steinbrenner Autosport,"",0,0,0,P,0,0,-0.0001,"",11.8583,"","","","","","","","","","",69.6819,"","","","",17.5056,10.5523,4.7709,12.4359,25.0098,7.6650,,6.5485,12.5739,6.0254,"","","","","","","","","","","","","","","","","","","","","","","","","","","",20,3,2020,114.962,,,,2022-02-25T20:43:22.812759Z,,,,
11,0,7,22,0.0000,0.0000,22,12,0.0000,0,0.0000,0,2:21.2967,In Pit,False,0,0,0,Green,14,Kyle,Kirkwood,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,"",11.8622,"","","","","","","","","","",74.7256,"",10.4446,,7.5638,19.0531,11.4893,5.0102,13.7437,28.5460,8.7335,,7.1003,14.8023,7.7020,"","","","","","","","","","","","","","","","","","","","","","","","","","","",12,2,954,99.657,,90.178,,2022-02-25T20:43:22.812759Z,,,,
23,0,7,23,0.0000,0.0000,23,24,0.0000,0,0.0000,0,2:28.2219,In Pit,False,0,0,0,Green,51,Takuma,Sato,IndyCar,D/H/F,Veteran,Dale Coyne Racing w/RWR,"",0,0,0,P,0,0,-0.0001,"",12.2597,"","","","","","","","","",5.1265,72.2802,"",10.4576,,7.3760,18.6863,11.3103,4.9003,12.9011,25.7501,8.0008,,6.7523,12.8490,6.0967,"","","","","","","","","","","","","","","","","","","","","","","","","","","",24,129,543,117.184,,100.292,,2022-02-25T20:43:22.812759Z,,,,
20,0,4,24,0.0000,0.0000,24,21,0.0000,0,0.0000,0,3:12.2426,Active,True,0,0,0,Green,30,Christian,Lundgaard,IndyCar,D/H/F,Rookie,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",5.3619,"","",9.3890,,6.9684,18.0740,11.1056,4.9097,13.4034,26.3632,8.4937,,6.6573,12.9598,6.3025,"","","","","","","","","","","",5.3619,"","",9.3890,,6.9684,18.0740,11.1056,4.9097,13.4034,26.3632,8.4937,,6.6573,12.9598,6.3025,21,21,2071,110.059,110.059,99.053,99.053,2022-02-25T20:43:22.812759Z,,,,
9,0,0,25,0.0000,0.0000,25,10,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Green,11,Tatiana,Calderon,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,596,,,,,2022-02-25T20:43:22.812759Z,,,,
22,0,0,26,0.0000,0.0000,26,23,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Green,48,Jimmie,Johnson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,25,2031,,,,,2022-02-25T20:43:22.812759Z,,,,
8,0,7,1,0.0000,0.0000,1,9,0.0000,0,0.0000,0,1:07.8915,In Pit,False,0,0,0,Green,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","",13.5066,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,25,2018,,,,,2022-02-25T20:43:58.684188Z,,,,
0,0,7,2,0.0000,0.0000,2,1,0.0000,0,0.0000,0,1:11.6724,In Pit,False,0,0,0,Green,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"","","","",13.4590,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,12,606,,,,,2022-02-25T20:43:58.684188Z,,,,
3,0,7,3,0.0000,0.0000,3,4,0.0000,0,0.0000,0,1:15.8787,In Pit,False,0,0,0,Green,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"","","","",13.4769,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,24,852,,,,,2022-02-25T20:43:58.684188Z,,,,
7,0,7,4,0.0000,0.0000,4,8,0.0000,0,0.0000,0,1:17.4633,In Pit,False,0,0,0,Green,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","",13.3864,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,25,326,,,,,2022-02-25T20:43:58.684188Z,,,,
16,0,7,5,0.0000,0.0000,5,17,0.0000,0,0.0000,0,1:18.3149,In Pit,False,0,0,0,Green,26,Colton,Herta,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"","","","",13.4696,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",17,3,879,,,,,2022-02-25T20:43:58.684188Z,,,,
6,0,7,6,0.0000,0.0000,6,7,0.0000,0,0.0000,0,1:20.8123,In Pit,False,0,0,0,Green,8,Marcus,Ericsson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"",13.5492,"","",13.4748,"","","","","","","",82.4883,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7,25,1087,,,,,2022-02-25T20:43:58.684188Z,,,,
12,0,7,7,0.0000,0.0000,7,13,0.0000,0,0.0000,0,1:21.7504,In Pit,False,0,0,0,Green,15,Graham,Rahal,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"",13.4504,"","",13.4310,"","","","","","","",82.5785,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13,21,400,,,,,2022-02-25T20:43:58.684188Z,,,,
1,0,7,8,0.0000,0.0000,8,2,0.0000,0,0.0000,0,1:23.4253,In Pit,False,0,0,0,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Rookie,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.0694,"","",13.4307,"","","","","","","",82.8901,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,12,2022,,,,,2022-02-25T20:43:58.684188Z,,,,
10,0,7,9,0.0000,0.0000,9,11,0.0000,0,0.0000,0,1:24.0155,In Pit,False,0,0,0,Green,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.3018,"","",13.4673,"","","","","","","",82.7196,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11,12,461,,,,,2022-02-25T20:43:58.684188Z,,,,
17,0,7,10,0.0000,0.0000,10,18,0.0000,0,0.0000,0,1:25.3392,In Pit,False,0,0,0,Green,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"",12.8706,"","",13.4817,"","","","","","","",82.4083,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18,3,522,,,,,2022-02-25T20:43:58.684188Z,,,,
15,0,7,11,0.0000,0.0000,11,16,0.0000,0,0.0000,0,1:26.0172,In Pit,False,0,0,0,Green,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"",12.8002,"","",13.6218,"","","","","","","",81.8938,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16,139,1010,,,,,2022-02-25T20:43:58.684188Z,,,,
14,0,7,12,0.0000,0.0000,12,15,0.0000,0,0.0000,0,1:28.1143,In Pit,False,0,0,0,Green,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"",12.7543,"","","","","","","","","","",83.0923,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15,139,580,,,,,2022-02-25T20:43:58.684188Z,,,,
18,0,7,13,0.0000,0.0000,13,19,0.0000,0,0.0000,0,1:28.7920,In Pit,False,0,0,0,Green,28,Romain,Grosjean,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"",13.3869,"","","","","","","","","","",83.2909,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19,3,1047,,,,,2022-02-25T20:43:58.684188Z,,,,
5,0,7,14,0.0000,0.0000,14,6,0.0000,0,0.0000,0,1:30.8786,In Pit,False,0,0,0,Green,7,Felix,Rosenqvist,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"",12.9111,"","","","","","","","","","",83.8440,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,24,963,,,,,2022-02-25T20:43:58.684188Z,,,,
21,0,7,15,0.0000,0.0000,15,22,0.0000,0,0.0000,0,1:31.8908,In Pit,False,0,0,0,Green,45,Jack,Harvey,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"",13.4351,"","","","","","","","","","",83.9597,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",22,21,850,,,,,2022-02-25T20:43:58.684188Z,,,,
25,0,7,16,0.0000,0.0000,16,26,0.0000,0,0.0000,0,1:33.3449,In Pit,False,0,0,0,Green,77,Callum,Ilott,IndyCar,D/C/F,Rookie,Juncos Hollinger Racing,"",0,0,0,P,0,0,-0.0001,"",13.2305,"","","","","","","","","","",84.1733,"","","","","","","","",31.1892,"","","",15.3131,7.2468,"","","","","","","","","","","","","","","","","","","","","","","","","","","",26,146,2072,,,,,2022-02-25T20:43:58.684188Z,,,,
24,0,7,17,0.0000,0.0000,17,25,0.0000,0,0.0000,0,1:36.0600,In Pit,False,0,0,0,Green,60,Simon,Pagenaud,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,"",13.7347,"","",13.9485,"","","","","","","",84.7330,"","","","","","","","",31.8764,"","","",14.8399,7.4945,"","","","","","","","","","","","","","","","","","","","","","","","","","","",25,148,658,,,,,2022-02-25T20:43:58.684188Z,,,,
2,0,7,18,0.0000,0.0000,18,3,0.0000,0,0.0000,0,1:38.8297,In Pit,False,0,0,0,Green,4,Dalton,Kellett,IndyCar,D/C/F,Veteran,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,"",12.5455,"","","","","","","","","","",79.6896,"","","","","","","","",30.8953,"","","",14.1232,6.6255,"","","","","","","","","","","","","","","","","","","","","","","","","","","",3,2,719,,,,,2022-02-25T20:43:58.684188Z,,,,
13,0,7,19,0.0000,0.0000,19,14,0.0000,0,0.0000,0,1:39.8551,In Pit,False,0,0,0,Green,18,David,Malukas,IndyCar,D/H/F,Rookie,Dale Coyne Racing with HMD,"",0,0,0,P,0,0,-0.0001,"",13.6297,"","","","","","","","","","",84.5208,"","","","","","","","",32.6624,"","",7.9758,14.7583,6.7825,"","","","","","","","","","","","","","","","","","","","","","","","","","","",14,129,1014,,,,,2022-02-25T20:43:58.684188Z,,,,
4,0,7,20,0.0000,0.0000,20,5,0.0000,0,0.0000,0,1:42.2035,Active,False,0,0,0,Green,06,Helio,Castroneves,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,12.3693,12.3728,"","","","","","","","","","",72.2687,"","","","","","","","",28.2222,"","",8.5436,15.3528,6.8092,12.3693,12.3728,"","","","","","","","","","",72.2687,"","","","","","","","",28.2222,"","",8.5436,15.3528,6.8092,5,148,254,,,,,2022-02-25T20:43:58.684188Z,,,,
19,0,7,21,0.0000,0.0000,21,20,0.0000,0,0.0000,0,2:04.1399,In Pit,False,0,0,0,Green,29,Devlin,DeFrancesco,IndyCar,D/H/F,Rookie,Andretti Steinbrenner Autosport,"",0,0,0,P,0,0,-0.0001,"",11.8583,"","","","","","","","","","",69.6819,"","","","",17.5056,10.5523,4.7709,12.4359,25.0098,7.6650,,6.5485,12.5739,6.0254,"","","","","","","","","","","","","","","","","","","","","","","","","","","",20,3,2020,114.962,,,,2022-02-25T20:43:58.684188Z,,,,
11,0,7,22,0.0000,0.0000,22,12,0.0000,0,0.0000,0,2:21.2967,In Pit,False,0,0,0,Green,14,Kyle,Kirkwood,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,"",11.8622,"","","","","","","","","","",74.7256,"",10.4446,,7.5638,19.0531,11.4893,5.0102,13.7437,28.5460,8.7335,,7.1003,14.8023,7.7020,"","","","","","","","","","","","","","","","","","","","","","","","","","","",12,2,954,99.657,,90.178,,2022-02-25T20:43:58.684188Z,,,,
23,0,7,23,0.0000,0.0000,23,24,0.0000,0,0.0000,0,2:28.2219,In Pit,False,0,0,0,Green,51,Takuma,Sato,IndyCar,D/H/F,Veteran,Dale Coyne Racing w/RWR,"",0,0,0,P,0,0,-0.0001,"",12.2597,"","","","","","","","","",5.1265,72.2802,"",10.4576,,7.3760,18.6863,11.3103,4.9003,12.9011,25.7501,8.0008,,6.7523,12.8490,6.0967,"","","","","","","","","","","","","","","","","","","","","","","","","","","",24,129,543,117.184,,100.292,,2022-02-25T20:43:58.684188Z,,,,
20,0,7,24,0.0000,0.0000,24,21,0.0000,0,0.0000,0,3:12.2426,In Pit,False,0,0,0,Green,30,Christian,Lundgaard,IndyCar,D/H/F,Rookie,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"",12.2452,"","",16.5397,"","","","","","",5.3619,71.4333,"",9.3890,,6.9684,18.0740,11.1056,4.9097,13.4034,26.3632,8.4937,,6.6573,12.9598,6.3025,"","","","","","","","","","","","","","","","","","","","","","","","","","","",21,21,2071,110.059,,99.053,,2022-02-25T20:43:58.684188Z,,,,
9,0,7,25,0.0000,0.0000,25,10,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,11,Tatiana,Calderon,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,596,,,,,2022-02-25T20:43:58.684188Z,,,,
22,0,0,26,0.0000,0.0000,26,23,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Green,48,Jimmie,Johnson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,25,2031,,,,,2022-02-25T20:43:58.684188Z,,,,
8,0,7,1,0.0000,0.0000,1,9,0.0000,0,0.0000,0,1:07.8915,In Pit,False,0,0,0,Green,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","",13.5066,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,25,2018,,,,,2022-02-25T20:44:34.440328Z,,,,
0,0,7,2,0.0000,0.0000,2,1,0.0000,0,0.0000,0,1:11.6724,In Pit,False,0,0,0,Green,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"","","","",13.4590,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,12,606,,,,,2022-02-25T20:44:34.440328Z,,,,
3,0,7,3,0.0000,0.0000,3,4,0.0000,0,0.0000,0,1:15.8787,In Pit,False,0,0,0,Green,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"","","","",13.4769,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,24,852,,,,,2022-02-25T20:44:34.440328Z,,,,
7,0,7,4,0.0000,0.0000,4,8,0.0000,0,0.0000,0,1:17.4633,In Pit,False,0,0,0,Green,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","",13.3864,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,25,326,,,,,2022-02-25T20:44:34.440328Z,,,,
16,0,7,5,0.0000,0.0000,5,17,0.0000,0,0.0000,0,1:18.3149,In Pit,False,0,0,0,Green,26,Colton,Herta,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"","","","",13.4696,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",17,3,879,,,,,2022-02-25T20:44:34.440328Z,,,,
6,0,7,6,0.0000,0.0000,6,7,0.0000,0,0.0000,0,1:20.8123,In Pit,False,0,0,0,Green,8,Marcus,Ericsson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"",13.5492,"","",13.4748,"","","","","","","",82.4883,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7,25,1087,,,,,2022-02-25T20:44:34.440328Z,,,,
12,0,7,7,0.0000,0.0000,7,13,0.0000,0,0.0000,0,1:21.7504,In Pit,False,0,0,0,Green,15,Graham,Rahal,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"",13.4504,"","",13.4310,"","","","","","","",82.5785,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13,21,400,,,,,2022-02-25T20:44:34.440328Z,,,,
1,0,7,8,0.0000,0.0000,8,2,0.0000,0,0.0000,0,1:23.4253,In Pit,False,0,0,0,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Rookie,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.0694,"","",13.4307,"","","","","","","",82.8901,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,12,2022,,,,,2022-02-25T20:44:34.440328Z,,,,
10,0,7,9,0.0000,0.0000,9,11,0.0000,0,0.0000,0,1:24.0155,In Pit,False,0,0,0,Green,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"",13.3018,"","",13.4673,"","","","","","","",82.7196,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11,12,461,,,,,2022-02-25T20:44:34.440328Z,,,,
17,0,7,10,0.0000,0.0000,10,18,0.0000,0,0.0000,0,1:25.3392,In Pit,False,0,0,0,Green,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"",12.8706,"","",13.4817,"","","","","","","",82.4083,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18,3,522,,,,,2022-02-25T20:44:34.440328Z,,,,
15,0,7,11,0.0000,0.0000,11,16,0.0000,0,0.0000,0,1:26.0172,In Pit,False,0,0,0,Green,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"",12.8002,"","",13.6218,"","","","","","","",81.8938,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16,139,1010,,,,,2022-02-25T20:44:34.440328Z,,,,
14,0,7,12,0.0000,0.0000,12,15,0.0000,0,0.0000,0,1:28.1143,In Pit,False,0,0,0,Green,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"",12.7543,"","","","","","","","","","",83.0923,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15,139,580,,,,,2022-02-25T20:44:34.440328Z,,,,
18,0,7,13,0.0000,0.0000,13,19,0.0000,0,0.0000,0,1:28.7920,In Pit,False,0,0,0,Green,28,Romain,Grosjean,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"",13.3869,"","","","","","","","","","",83.2909,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19,3,1047,,,,,2022-02-25T20:44:34.440328Z,,,,
5,0,7,14,0.0000,0.0000,14,6,0.0000,0,0.0000,0,1:30.8786,In Pit,False,0,0,0,Green,7,Felix,Rosenqvist,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"",12.9111,"","","","","","","","","","",83.8440,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,24,963,,,,,2022-02-25T20:44:34.440328Z,,,,
